Movies,Years,Review Links,Buy Links
 The Silence Of The Lambs,1991,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/silence-lambs-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B001U3EOHQ/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B001U3EOHQ&linkId=d0901dda5d1947da329eca172d704e5e
 Interstellar,2014,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/interstellar-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00EXPOCNO/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00EXPOCNO&linkId=cb213075424906990c8e434f683126c3
 Citizen Kane,1941,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/citizen-kane-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B01FU85920/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B01FU85920&linkId=ab550d6f1fe3875ae1fbdd6538e2f99a
 Drive,2011,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/drive-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005VP822M/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005VP822M&linkId=a3f9873a4d590a5aa1a1e915d63c5540
 Gladiator,2000,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/gladiator-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00T7MDZ6S/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00T7MDZ6S&linkId=fe1cd21acd50830a1ad1cb03a4ae2627
 One Flew Over The Cuckoo's Nest,1975,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/one-flew-cuckoo-nest-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B001KN8WJ2/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B001KN8WJ2&linkId=65c7d51195893ccde2f5831814a1220e
 There Will Be Blood,2007,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/will-blood-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005C4440G/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005C4440G&linkId=a5af17fc5e305e1833e9d1fb4924f056
 Eternal Sunshine Of The Spotless Mind,2004,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/eternal-sunshine-spotless-mind-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005HI4LOQ/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005HI4LOQ&linkId=82364b19b7365ce21096fec3b9ce4408
 12 Angry Men,1957,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/twelve-angry-men-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00B3V38DG/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00B3V38DG&linkId=82f7f1c637906b2cd234aac1ce1d8338
 Saving Private Ryan,1998,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/saving-private-ryan-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00C6CARTE/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00C6CARTE&linkId=8aaf90bf55cb6c03fde2834ccd69ffd2
 Mad Max: Fury Road,2015,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/mad-max-fury-road-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00QKS2CJI/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00QKS2CJI&linkId=2dfa5b0fc670a991790c70ccd7a223ce
 The Thing,1982,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/thing-2-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B074WVZK5T/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B074WVZK5T&linkId=eeab053169bd18dc00511234b89a2dec
 The Departed,2006,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/departed-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B000PC1MNM/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B000PC1MNM&linkId=5b59dd39e64806c4007dbda1353d0200
 The Shining,1980,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/shining-2-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B0013K11AE/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B0013K11AE&linkId=1750fdd19c3f5cb95b27a4912f39c241
 Guardians Of The Galaxy,2014,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/guardians-galaxy-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00IXGU7XI/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00IXGU7XI&linkId=42dbb5ba14cbdc0ae939cc09cf55fbf2
 Schindler's List,1993,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/schindler-list-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00VTH9UE0/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00VTH9UE0&linkId=4c94718d780ad825040c859adcfd966b
 The Usual Suspects,1995,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/usual-suspects-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B001FBPJU4/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B001FBPJU4&linkId=fbaa892cac3a918d804aa238311a6e45
 Taxi Driver,1976,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/taxi-driver-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B004SF68DG/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B004SF68DG&linkId=330879873eaec303001786a369413a36
 Seven,1995,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/seven-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003468H2A/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003468H2A&linkId=6d833df7cc8fde2a6589f605f8e98590
 The Big Lebowski,1998,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/big-lebowski-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005UKU0ZA/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005UKU0ZA&linkId=7fc2c95a989d82145d49f244a790a551
